catalog_page,motor_hp,gear_unit_size,model_type,output_rpm,output_torque_lb_in,service_factor_cat,total_ratio,worm_ratio,second_ratio,ohl_lb,ohl_flange_unit_lb,approx_weight_lb,config_page,dim_page
B59,1.0,SI63,SK 1SI63 - 140TC - 80LH/4,350,167,6.3,5.0,5.0,,1418.0,779.0,37.0,85,106
B60,1.0,SI75,SK 1SI75/40 - 56C - 80LH/4,7,3803,0.8,225.0,30.0,7.5,1800.0,1800.0,,,
B60,1.0,SI75,SK 1SI75/40 - 140TC - 80LP/4,8,3486,0.9,225.0,30.0,7.5,1800.0,1800.0,,,
B60,1.0,SI75,SK 1SI75/40 - 56C - 80L/4,11,2766,1.0,150.0,30.0,5.0,1800.0,1800.0,52.0,87,116
B60,1.0,SI75,SK 1SI75/40 - 140TC - 80LH/4,12,2536,1.1,150.0,30.0,5.0,1800.0,1800.0,52.0,87,116
B59,1.0,SI75,SK 1SI75 - 56C - 80LP/4,17,2075,0.8,100.0,100.0,,1800.0,1800.0,,,
B59,1.0,SI75,SK 1SI75 - 140TC - 80LP/4,18,1902,0.9,100.0,100.0,,1800.0,1800.0,,,
B59,1.0,SI75,SK 1SI75 - 56C - 80LP/4,21,1813,1.0,80.0,80.0,,1800.0,1800.0,,,
B59,1.0,SI75,SK 1SI75 - 140TC - 80LP/4,22,1700,1.0,80.0,80.0,,1800.0,1800.0,,,
B59,1.0,SI75,SK 1SI75 - 56C - 80LP/4,28,1475,1.3,60.0,60.0,,1800.0,1800.0,,,
B59,1.0,SI75,SK 1SI75 - 140TC - 80LP/4,29,1399,1.4,60.0,60.0,,1800.0,1800.0,,,
B59,1.0,SI75,SK 1SI75 - 56C - 80LP/4,33,1287,1.6,50.0,50.0,,1800.0,1800.0,,,
B59,1.0,SI75,SK 1SI75 - 140TC - 80LP/4,35,1214,1.7,50.0,50.0,,1800.0,1800.0,,,
B59,1.0,SI75,SK 1SI75 - 56C - 80LP/4,41,1076,2.1,40.0,40.0,,1800.0,1800.0,,,
B59,1.0,SI75,SK 1SI75 - 140TC - 80LP/4,44,1009,2.2,40.0,40.0,,1800.0,1800.0,,,
B59,1.0,SI75,SK 1SI75 - 56C - 80LP/4,55,807,2.4,30.0,30.0,,1800.0,1800.0,,,
B59,1.0,SI75,SK 1SI75 - 140TC - 80LP/4,58,765,2.5,30.0,30.0,,1800.0,1800.0,,,
B59,1.0,SI75,SK 1SI75 - 56C - 80LP/4,66,778,2.6,25.0,25.0,,1800.0,1800.0,,,
B59,1.0,SI75,SK 1SI75 - 140TC - 80LP/4,70,734,2.8,25.0,25.0,,1800.0,1800.0,,,
B59,1.0,SI75,SK 1SI75 - 56C - 80LP/4,83,638,3.4,20.0,20.0,,1800.0,1800.0,,,
B59,1.0,SI75,SK 1SI75 - 140TC - 80LP/4,88,598,3.6,20.0,20.0,,1800.0,1800.0,,,
B59,1.0,SI75,SK 1SI75 - 56C - 80LP/4,110,490,4.8,15.0,15.0,,1800.0,1800.0,,,
B59,1.0,SI75,SK 1SI75 - 140TC - 80LP/4,117,461,5.0,15.0,15.0,,1800.0,1800.0,,,
B59,1.0,SI75,SK 1SI75 - 56C - 80LP/4,132,384,5.0,12.5,12.5,,1800.0,1800.0,,,
B59,1.0,SI75,SK 1SI75 - 140TC - 80LP/4,140,362,5.3,12.5,12.5,,1800.0,1800.0,,,
B59,1.0,SI75,SK 1SI75 - 56C - 80LP/4,165,346,5.8,10.0,10.0,,1800.0,1800.0,,,
B59,1.0,SI75,SK 1SI75 - 140TC - 80LP/4,175,326,6.1,10.0,10.0,,1800.0,1800.0,,,
B59,1.0,SI75,SK 1SI75 - 56C - 80LH/4,220,262,7.9,7.5,7.5,,1800.0,1800.0,,,
B59,1.0,SI75,SK 1SI75 - 140TC - 80LP/4,233,247,8.3,7.5,7.5,,1800.0,1800.0,,,
B59,1.0,SI75,SK 1SI75 - 56C - 80L/4,330,179,9.7,5.0,5.0,,1800.0,1800.0,46.0,87,110
B59,1.0,SI75,SK 1SI75 - 140TC - 80LH/4,350,169,10.2,5.0,5.0,,1800.0,1800.0,46.0,87,110
B60,1.5,SI40,SK 1SI40 - 140TC - 90SP/4,174,451,0.8,10.0,10.0,,677.0,403.0,,,
B60,1.5,SI40,SK 1SI40 - 140TC - 90SP/4,232,347,1.1,7.5,7.5,,628.0,410.0,,,
B60,1.5,SI40,SK 1SI40 - 140TC - 90SH/4,348,242,1.4,5.0,5.0,,554.0,403.0,32.0,81,98
B60,1.5,SI50,SK 1SI50 - 140TC - 90SP/4,87,838,0.9,20.0,20.0,,1080.0,830.0,,,
B60,1.5,SI50,SK 1SI50 - 140TC - 90SP/4,116,655,1.2,15.0,15.0,,1080.0,835.0,,,
B60,1.5,SI50,SK 1SI50 - 140TC - 90SP/4,139,545,1.2,12.5,12.5,,1080.0,837.0,,,
B60,1.5,SI50,SK 1SI50 - 140TC - 90SP/4,174,468,1.4,10.0,10.0,,1080.0,839.0,,,
B60,1.5,SI50,SK 1SI50 - 140TC - 90SP/4,232,359,1.9,7.5,7.5,,1080.0,842.0,,,
B60,1.5,SI50,SK 1SI50 - 140TC - 90SH/4,348,247,2.4,5.0,5.0,,1078.0,803.0,36.0,83,102
B60,1.5,SI63,SK 1SI63 - 140TC - 90SP/4,44,1437,0.9,40.0,40.0,,1418.0,743.0,,,
B60,1.5,SI63,SK 1SI63 - 140TC - 90SP/4,58,1143,1.2,30.0,30.0,,1418.0,756.0,,,
B60,1.5,SI63,SK 1SI63 - 140TC - 90SP/4,70,1042,1.1,25.0,25.0,,1418.0,761.0,,,
B60,1.5,SI63,SK 1SI63 - 140TC - 90SP/4,87,870,1.5,20.0,20.0,,1418.0,765.0,,,
B60,1.5,SI63,SK 1SI63 - 140TC - 90SP/4,116,677,2.0,15.0,15.0,,1418.0,772.0,,,
B60,1.5,SI63,SK 1SI63 - 140TC - 90SP/4,139,545,2.1,12.5,12.5,,1418.0,774.0,,,
B60,1.5,SI63,SK 1SI63 - 140TC - 90SP/4,174,479,2.5,10.0,10.0,,1418.0,776.0,,,
B60,1.5,SI63,SK 1SI63 - 140TC - 90SP/4,232,354,3.5,7.5,7.5,,1418.0,776.0,,,
B60,1.5,SI63,SK 1SI63 - 140TC - 90SH/4,348,250,4.2,5.0,5.0,,1418.0,779.0,43.0,85,106
B60,1.5,SI75,SK 1SI75 - 140TC - 90SP/4,29,2089,0.9,60.0,60.0,,1800.0,1800.0,,,
B60,1.5,SI75,SK 1SI75 - 140TC - 90SP/4,35,1812,1.1,50.0,50.0,,1800.0,1800.0,,,
B60,1.5,SI75,SK 1SI75 - 140TC - 90SP/4,44,1506,1.5,40.0,40.0,,1800.0,1800.0,,,
B60,1.5,SI75,SK 1SI75 - 140TC - 90SP/4,58,1143,1.7,30.0,30.0,,1800.0,1800.0,,,
B60,1.5,SI75,SK 1SI75 - 140TC - 90SP/4,70,1096,1.8,25.0,25.0,,1800.0,1800.0,,,
B60,1.5,SI75,SK 1SI75 - 140TC - 90SP/4,87,904,2.4,20.0,20.0,,1800.0,1800.0,,,
B60,1.5,SI75,SK 1SI75 - 140TC - 90SP/4,116,694,3.3,15.0,15.0,,1800.0,1800.0,,,
B60,1.5,SI75,SK 1SI75 - 140TC - 90SP/4,139,545,3.5,12.5,12.5,,1800.0,1800.0,,,
B60,1.5,SI75,SK 1SI75 - 140TC - 90SP/4,174,489,4.1,10.0,10.0,,1800.0,1800.0,,,
B60,1.5,SI75,SK 1SI75 - 140TC - 90SP/4,232,371,5.5,7.5,7.5,,1800.0,1800.0,,,
B60,1.5,SI75,SK 1SI75 - 140TC - 90SH/4,348,253,6.8,5.0,5.0,,1800.0,1800.0,53.0,87,110
B60,2.0,SI50,SK 1SI50 - 140TC - 90LP/4,116,871,0.9,15.0,15.0,,1080.0,828.0,,,
B60,2.0,SI50,SK 1SI50 - 140TC - 90LP/4,140,721,0.9,12.5,12.5,,1080.0,833.0,,,
B60,2.0,SI50,SK 1SI50 - 140TC - 90LP/4,175,619,1.1,10.0,10.0,,1080.0,835.0,,,
B60,2.0,SI50,SK 1SI50 - 140TC - 90LP/4,233,475,1.5,7.5,7.5,,1080.0,839.0,,,
B60,2.0,SI50,SK 1SI50 - 140TC - 90LH/4,349,328,1.8,5.0,5.0,,1060.0,792.0,40.0,83,102
B61,2.0,SI63,SK 1SI63 - 140TC - 90LP/4,58,1520,0.9,30.0,30.0,,1418.0,738.0,,,
B61,2.0,SI63,SK 1SI63 - 140TC - 90LP/4,70,1385,0.9,25.0,25.0,,1418.0,745.0,,,
B61,2.0,SI63,SK 1SI63 - 140TC - 90LP/4,87,1158,1.1,20.0,20.0,,1418.0,756.0,,,
B61,2.0,SI63,SK 1SI63 - 140TC - 90LP/4,116,901,1.5,15.0,15.0,,1418.0,765.0,,,
B61,2.0,SI63,SK 1SI63 - 140TC - 90LP/4,140,720,1.6,12.5,12.5,,1418.0,770.0,,,
B61,2.0,SI63,SK 1SI63 - 140TC - 90LP/4,175,634,1.9,10.0,10.0,,1418.0,772.0,,,
B61,2.0,SI63,SK 1SI63 - 140TC - 90LP/4,233,486,2.5,7.5,7.5,,1418.0,776.0,,,
B61,2.0,SI63,SK 1SI63 - 140TC - 90LH/4,349,332,3.1,5.0,5.0,,1418.0,779.0,48.0,85,106
B61,2.0,SI75,SK 1SI75 - 140TC - 90LP/4,35,2410,0.8,50.0,50.0,,1800.0,1800.0,,,
B61,2.0,SI75,SK 1SI75 - 140TC - 90LP/4,44,2003,1.1,40.0,40.0,,1800.0,1800.0,,,
B61,2.0,SI75,SK 1SI75 - 140TC - 90LP/4,58,1520,1.3,30.0,30.0,,1800.0,1800.0,,,
B61,2.0,SI75,SK 1SI75 - 140TC - 90LP/4,70,1448,1.4,25.0,25.0,,1800.0,1800.0,,,
B61,2.0,SI75,SK 1SI75 - 140TC - 90LP/4,87,1201,1.8,20.0,20.0,,1800.0,1800.0,,,
B61,2.0,SI75,SK 1SI75 - 140TC - 90LP/4,116,923,2.5,15.0,15.0,,1800.0,1800.0,,,
B61,2.0,SI75,SK 1SI75 - 140TC - 90LP/4,140,720,2.7,12.5,12.5,,1800.0,1800.0,,,
B61,2.0,SI75,SK 1SI75 - 140TC - 90LP/4,175,648,3.1,10.0,10.0,,1800.0,1800.0,,,
B61,2.0,SI75,SK 1SI75 - 140TC - 90LP/4,233,492,4.2,7.5,7.5,,1800.0,1800.0,,,
B61,2.0,SI75,SK 1SI75 - 140TC - 90LH/4,349,336,5.1,5.0,5.0,,1800.0,1800.0,57.0,87,110
B61,3.0,SI75,SK 1SI75 - 180TC - 100LP/4,59,2244,0.9,30.0,30.0,,1800.0,1800.0,,,
B61,3.0,SI75,SK 1SI75 - 180TC - 100LP/4,71,2160,0.9,25.0,25.0,,1800.0,1800.0,,,
B61,3.0,SI75,SK 1SI75 - 180TC - 100LP/4,88,1785,1.2,20.0,20.0,,1800.0,1800.0,,,
B61,3.0,SI75,SK 1SI75 - 180TC - 100LP/4,118,1364,1.7,15.0,15.0,,1800.0,1800.0,,,
B61,3.0,SI75,SK 1SI75 - 180TC - 100LP/4,141,1074,1.8,12.5,12.5,,1800.0,1800.0,,,
B61,3.0,SI75,SK 1SI75 - 180TC - 100LP/4,177,962,2.1,10.0,10.0,,1800.0,1800.0,,,
B61,3.0,SI75,SK 1SI75 - 180TC - 100LP/4,235,733,2.8,7.5,7.5,,1800.0,1800.0,,,
B61,3.0,SI75,SK 1SI75 - 180TC - 100LH/4,353,499,3.4,5.0,5.0,,1800.0,1773.0,66.0,87,110
B61,5.0,SI75,SK 1SI75 - 180TC - 112MP/4,118,2270,1.0,15.0,15.0,,1800.0,1800.0,,,
B61,5.0,SI75,SK 1SI75 - 180TC - 112MP/4,142,1777,1.1,12.5,12.5,,1800.0,1800.0,,,
B61,5.0,SI75,SK 1SI75 - 180TC - 112MP/4,177,1603,1.2,10.0,10.0,,1800.0,1800.0,,,
B61,5.0,SI75,SK 1SI75 - 180TC - 112MP/4,236,1215,1.7,7.5,7.5,,1800.0,1800.0,,,
B61,5.0,SI75,SK 1SI75 - 180TC - 112MH/4,354,828,2.1,5.0,5.0,,1800.0,1730.0,73.0,87,110
