catalog_page,category,part_numbers,c1,c2,c3,c4,c5,c6,raw_line
B88,CONFIGURATION,60395510;60495500;60495500;60495500;60795500,NEMA 56C 60395510 60495500 60495500 60495500 60795500,,,,,,NEMA 56C 60395510 60495500 60495500 60495500 60795500
B88,CONFIGURATION,60595500;60595500;60595500;60795510,NEMA 140TC N/A 60595500 60595500 60595500 60795510,,,,,,NEMA 140TC N/A 60595500 60595500 60595500 60795510
B88,CONFIGURATION,60695500;60795520,NEMA 180TC N/A N/A N/A 60695500 60795520,,,,,,NEMA 180TC N/A N/A N/A 60695500 60795520
B88,CONFIGURATION,60494210;60494210;60494210;60794210,"Solid Input Shaft (W) N/A 60494210, Ø 0.625 60494210, Ø 0.625 60494210, Ø 0.625 60794210, Ø 0.875",,,,,,"Solid Input Shaft (W) N/A 60494210, Ø 0.625 60494210, Ø 0.625 60494210, Ø 0.625 60794210, Ø 0.875"
B88,CONFIGURATION,60494000;60494000;60494000,Helical Input Stage (H10) N/A 60494000 60494000 60494000 N/A,,,,,,Helical Input Stage (H10) N/A 60494000 60494000 60494000 N/A
B88,CONFIGURATION,60494110;60494110;60494110;60794100,"Double Worm Adapter (/31, /40) N/A 60494110, Ø 0.625 60494110, Ø 0.625 60494110, Ø 0.625 60794100, Ø 0.750",,,,,,"Double Worm Adapter (/31, /40) N/A 60494110, Ø 0.625 60494110, Ø 0.625 60494110, Ø 0.625 60794100, Ø 0.750"
B88,CONFIGURATION,60393010;60493010;60593010;60693010;60793010,"Plug-in Solid Shaft (V) 60393010, Ø 0.625 60493010, Ø 0.750 60593010, Ø 1.000 60693010, Ø 1.125 60793010, Ø 1.375",,,,,,"Plug-in Solid Shaft (V) 60393010, Ø 0.625 60493010, Ø 0.750 60593010, Ø 1.000 60693010, Ø 1.125 60793010, Ø 1.375"
B88,CONFIGURATION,60393110;60493110;60593110;60693110;60793110,"Double Solid Shaft (L) 60393110, Ø 0.625 60493110, Ø 0.750 60593110, Ø 1.000 60693110, Ø 1.125 60793110, Ø 1.375",,,,,,"Double Solid Shaft (L) 60393110, Ø 0.625 60493110, Ø 0.750 60593110, Ø 1.000 60693110, Ø 1.125 60793110, Ø 1.375"
B88,CONFIGURATION,60393210;60493210;60593210;60693210;60793210,"Plug-in Shaft with Flange (VF) 60393210, Ø 0.625 60493210, Ø 0.750 60593210, Ø 1.000 60693210, Ø 1.125 60793210, Ø 1.375",,,,,,"Plug-in Shaft with Flange (VF) 60393210, Ø 0.625 60493210, Ø 0.750 60593210, Ø 1.000 60693210, Ø 1.125 60793210, Ø 1.375"
B88,CONFIGURATION,60393800;60493800;60593800;60693800,"Flange I (F) 60393800, Ø 4.13 60493800, Ø 4.72 60593800, Ø 6.30 60693800, Ø 7.87 N/A",,,,,,"Flange I (F) 60393800, Ø 4.13 60493800, Ø 4.72 60593800, Ø 6.30 60693800, Ø 7.87 N/A"
B88,CONFIGURATION,60393810;60493810;60593810;60693810;60793800,"Flange II (female pilot) (F) 60393810, Ø 3.15 60493810, Ø 4.33 60593810, Ø 4.92 60693810, Ø 7.09 60793800, Ø 7.87",,,,,,"Flange II (female pilot) (F) 60393810, Ø 3.15 60493810, Ø 4.33 60593810, Ø 4.92 60693810, Ø 7.09 60793800, Ø 7.87"
B88,CONFIGURATION,60393820;60593820,"Flange III (male pilot) (F) 60393820, Ø 3.15 N/A 60593820, Ø 4.92 N/A N/A",,,,,,"Flange III (male pilot) (F) 60393820, Ø 3.15 N/A 60593820, Ø 4.92 N/A N/A"
B88,CONFIGURATION,60693820,"Flange IV (F) N/A N/A N/A 60693820, Ø 6.30 N/A",,,,,,"Flange IV (F) N/A N/A N/A 60693820, Ø 6.30 N/A"
B88,CONFIGURATION,60393900;60493900;60593900;60693900;60793900,"60393900, 3.54 60493900, 5.12 60593900, 5.12 60693900, 5.91 60793900, 7.87",,,,,,"60393900, 3.54 60493900, 5.12 60593900, 5.12 60693900, 5.91 60793900, 7.87"
B88,CONFIGURATION,60493910;60593920,"N/A 60493910, 3.94 60593920, 4.33 N/A N/A",,,,,,"N/A 60493910, 3.94 60593920, 4.33 N/A N/A"
B88,CONFIGURATION,60593910,"N/A N/A 60593910, 3.94 N/A N/A",,,,,,"N/A N/A 60593910, 3.94 N/A N/A"
B88,CONFIGURATION,60393950;60493950;60593950;60693950;60793950,Shaft Cover (H) 60393950 60493950 60593950 60693950 60793950,,,,,,Shaft Cover (H) 60393950 60493950 60593950 60693950 60793950
B88,Hollow Shaft Bushing (J),60593400;60693400;60793430,"N/A N/A 60593400, Ø 1.000 60693400, Ø 1.000 60793430, Ø 1.1875",,,,,,"N/A N/A 60593400, Ø 1.000 60693400, Ø 1.000 60793430, Ø 1.1875"
B88,Hollow Shaft Bushing (J),60693410;60793400,"N/A N/A N/A 60693410, Ø 1.1875 60793400, Ø 1.250",,,,,,"N/A N/A N/A 60693410, Ø 1.1875 60793400, Ø 1.250"
B88,Hollow Shaft Bushing (J),60693420;60793420,"N/A N/A N/A 60693420, Ø 1.250 60793420, Ø 1.4375",,,,,,"N/A N/A N/A 60693420, Ø 1.250 60793420, Ø 1.4375"
B88,Hollow Shaft Bushing (J),60793410,"N/A N/A N/A N/A 60793410, Ø 1.500",,,,,,"N/A N/A N/A N/A 60793410, Ø 1.500"
B88,Hollow Shaft Bushing (J),60394600;60494600;60594600;60694600,Footplate (X) 60394600 60494600 60594600 60694600 N/A,,,,,,Footplate (X) 60394600 60494600 60594600 60694600 N/A
B88,Hollow Shaft Bushing (J),60693500;60693500;60693500;60693500;60693500,Open vent (OV) 60693500 60693500 60693500 60693500 60693500,,,,,,Open vent (OV) 60693500 60693500 60693500 60693500 60693500
B88,Hollow Shaft Bushing (J),60382910;60282930;60282930;82282920;61282910,Fixing Kit (B) 60382910 60282930 60282930 82282920 61282910,,,,,,Fixing Kit (B) 60382910 60282930 60282930 82282920 61282910
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60391050;60491050;60591050;60691050;60791050,"60391050, i=5 60491050, i=5 60591050, i=5 60691050, i=5 60791050, i=5",,,,,,"60391050, i=5 60491050, i=5 60591050, i=5 60691050, i=5 60791050, i=5"
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60391050;60491080;60591080;60691080;60791080,"60391050, i=7.5 60491080, i=7.5 60591080, i=7.5 60691080, i=7.5 60791080, i=7.5",,,,,,"60391050, i=7.5 60491080, i=7.5 60591080, i=7.5 60691080, i=7.5 60791080, i=7.5"
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60391100;60491100;60591100;60691100;60791100,"60391100, i=10 60491100, i=10 60591100, i=10 60691100, i=10 60791100, i=10",,,,,,"60391100, i=10 60491100, i=10 60591100, i=10 60691100, i=10 60791100, i=10"
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60391130;60491130;60591130;60691130;60791130,"60391130, i=12.5 60491130, i=12.5 60591130, i=12.5 60691130, i=12.5 60791130, i=12.5",,,,,,"60391130, i=12.5 60491130, i=12.5 60591130, i=12.5 60691130, i=12.5 60791130, i=12.5"
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60392150;60491150;60591150;60691150;60791150,"60392150, i=15 60491150, i=15 60591150, i=15 60691150, i=15 60791150, i=15",,,,,,"60392150, i=15 60491150, i=15 60591150, i=15 60691150, i=15 60791150, i=15"
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60391200;60491200;60591200;60691200;60791200,"60391200, i=20 60491200, i=20 60591200, i=20 60691200, i=20 60791200, i=20",,,,,,"60391200, i=20 60491200, i=20 60591200, i=20 60691200, i=20 60791200, i=20"
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60391250;60491250;60591250;60691250;60791250,"60391250, i=25 60491250, i=25 60591250, i=25 60691250, i=25 60791250, i=25",,,,,,"60391250, i=25 60491250, i=25 60591250, i=25 60691250, i=25 60791250, i=25"
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60391300;60491300;60591300;60691300;60791300,"60391300, i=30 60491300, i=30 60591300, i=30 60691300, i=30 60791300, i=30",,,,,,"60391300, i=30 60491300, i=30 60591300, i=30 60691300, i=30 60791300, i=30"
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60391400;60491400;60591400;60691400;60791400,"60391400, i=40 60491400, i=40 60591400, i=40 60691400, i=40 60791400, i=40",,,,,,"60391400, i=40 60491400, i=40 60591400, i=40 60691400, i=40 60791400, i=40"
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60391500;60491500;60591500;60691500;60791500,"60391500, i=50 60491500, i=50 60591500, i=50 60691500, i=50 60791500, i=50",,,,,,"60391500, i=50 60491500, i=50 60591500, i=50 60691500, i=50 60791500, i=50"
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60391600;60491600;60591600;60691600;60791600,"60391600, i=60 60491600, i=60 60591600, i=60 60691600, i=60 60791600, i=60",,,,,,"60391600, i=60 60491600, i=60 60591600, i=60 60691600, i=60 60791600, i=60"
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60391800;60491800;60591800;60691800;60791800,"60391800, i=80 60491800, i=80 60591800, i=80 60691800, i=80 60791800, i=80",,,,,,"60391800, i=80 60491800, i=80 60591800, i=80 60691800, i=80 60791800, i=80"
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60391000;60491000;60591000;60691000;60791000,"60391000, i=100 60491000, i=100 60591000, i=100 60691000, i=100 60791000, i=100",,,,,,"60391000, i=100 60491000, i=100 60591000, i=100 60691000, i=100 60791000, i=100"
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60395100;60495100;60495100;60495100,IEC 56 B14 C105 60395100 60495100 60495100 60495100 N/A,,,,,,IEC 56 B14 C105 60395100 60495100 60495100 60495100 N/A
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60395200;60495200;60495200;60495200,IEC 56 B5 A120 60395200 60495200 60495200 60495200 N/A,,,,,,IEC 56 B5 A120 60395200 60495200 60495200 60495200 N/A
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60395010;60495010;60495010;60495010,IEC 63 B14 C90 60395010* 60495010* 60495010* 60495010* N/A,,,,,,IEC 63 B14 C90 60395010* 60495010* 60495010* 60495010* N/A
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60395110;60495110;60495110;60495110,IEC 63 B14 C120 60395110 60495110 60495110 60495110 N/A,,,,,,IEC 63 B14 C120 60395110 60495110 60495110 60495110 N/A
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60395210;60495210;60495210;60495210,IEC 63 B5 A140 60395210 60495210 60495210 60495210 N/A,,,,,,IEC 63 B5 A140 60395210 60495210 60495210 60495210 N/A
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60395020;60495020;60495020;60495020;60795020,IEC 71 B14 C105 60395020* 60495020* 60495020* 60495020* 60795020*,,,,,,IEC 71 B14 C105 60395020* 60495020* 60495020* 60495020* 60795020*
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60395120;60495120;60495120;60495120;60795120,IEC 71 B14 C140 60395120 60495120 60495120 60495120 60795120,,,,,,IEC 71 B14 C140 60395120 60495120 60495120 60495120 60795120
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60495220;60495220;60495220;60795220,IEC 71 B5 A160 N/A 60495220 60495220 60495220 60795220,,,,,,IEC 71 B5 A160 N/A 60495220 60495220 60495220 60795220
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60495030;60495030;60495030;60795030,IEC 80 B14 C120 N/A 60495030* 60495030* 60495030* 60795030*,,,,,,IEC 80 B14 C120 N/A 60495030* 60495030* 60495030* 60795030*
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60495130;60495130;60495130;60795130,IEC 80 B14 C160 N/A 60495130 60495130 60495130 60795130,,,,,,IEC 80 B14 C160 N/A 60495130 60495130 60495130 60795130
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60495230;60495230;60495230;60795230,IEC 80 B5 A200 N/A 60495230 60495230 60495230 60795230,,,,,,IEC 80 B5 A200 N/A 60495230 60495230 60495230 60795230
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60495040;60495040;60695040;60795040,IEC 90 B14 C140 N/A 60495040* 60495040* 60695040* 60795040*,,,,,,IEC 90 B14 C140 N/A 60495040* 60495040* 60695040* 60795040*
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60495140;60495140;60695140;60795140,IEC 90 B14 C160 N/A 60495140 60495140 60695140 60795140,,,,,,IEC 90 B14 C160 N/A 60495140 60495140 60695140 60795140
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60695240;60795240,IEC 90 B5 A200 N/A N/A N/A 60695240 60795240,,,,,,IEC 90 B5 A200 N/A N/A N/A 60695240 60795240
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60795050,IEC 100 B14 C160 N/A N/A N/A N/A 60795050,,,,,,IEC 100 B14 C160 N/A N/A N/A N/A 60795050
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60795150,IEC 100 B14 C200 N/A N/A N/A N/A 60795150,,,,,,IEC 100 B14 C200 N/A N/A N/A N/A 60795150
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60795250,IEC 100 B5 A250 N/A N/A N/A N/A 60795250*,,,,,,IEC 100 B5 A250 N/A N/A N/A N/A 60795250*
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60795050,IEC 112 B14 C160 N/A N/A N/A N/A 60795050,,,,,,IEC 112 B14 C160 N/A N/A N/A N/A 60795050
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60795150,IEC 112 B14 C200 N/A N/A N/A N/A 60795150,,,,,,IEC 112 B14 C200 N/A N/A N/A N/A 60795150
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60795250,IEC 112 B5 A250 N/A N/A N/A N/A 60795250*,,,,,,IEC 112 B5 A250 N/A N/A N/A N/A 60795250*
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60494200;60494200;60494200;60794200,"Solid Input Shaft (W) N/A 60494200, Ø 16 60494200, Ø 16 60494200, Ø 16 60794200, Ø 24",,,,,,"Solid Input Shaft (W) N/A 60494200, Ø 16 60494200, Ø 16 60494200, Ø 16 60794200, Ø 24"
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60494000;60494000;60494000,Helical Input Stage (H10) N/A 60494000 60494000 60494000 N/A,,,,,,Helical Input Stage (H10) N/A 60494000 60494000 60494000 N/A
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60494100;60494100;60494100;60794000,"Double Worm Adapter (/31, /40) N/A 60494100, Ø 14 60494100, Ø 14 60494100, Ø 14 60794000, Ø 18",,,,,,"Double Worm Adapter (/31, /40) N/A 60494100, Ø 14 60494100, Ø 14 60494100, Ø 14 60794000, Ø 18"
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60393000;60493000;60593000;60693000;60793000,"Plug-in Solid Shaft (V) 60393000, Ø 14 60493000, Ø 18 60593000, Ø 25 60693000, Ø 25 60793000, Ø 35",,,,,,"Plug-in Solid Shaft (V) 60393000, Ø 14 60493000, Ø 18 60593000, Ø 25 60693000, Ø 25 60793000, Ø 35"
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60393100;60493100;60593100;60693100;60793100,"Double Solid Shaft (L) 60393100, Ø 14 60493100, Ø 18 60593100, Ø 25 60693100, Ø 25 60793100, Ø 35",,,,,,"Double Solid Shaft (L) 60393100, Ø 14 60493100, Ø 18 60593100, Ø 25 60693100, Ø 25 60793100, Ø 35"
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60393200;60493200;60593200;60693200;60793200,"Plug-in Solid Shaft with Flange (VF) 60393200, Ø 14 60493200, Ø 18 60593200, Ø 25 60693200, Ø 25 60793200, Ø 35",,,,,,"Plug-in Solid Shaft with Flange (VF) 60393200, Ø 14 60493200, Ø 18 60593200, Ø 25 60693200, Ø 25 60793200, Ø 35"
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60393800;60493800;60593800;60693800,"Flange I (F) 60393800, Ø 105 60493800, Ø 120 60593800, Ø 160 60693800, Ø 200 N/A",,,,,,"Flange I (F) 60393800, Ø 105 60493800, Ø 120 60593800, Ø 160 60693800, Ø 200 N/A"
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60393810;60493810;60593810;60693810;60793800,"Flange II (female pilot) (F) 60393810, Ø 80 60493810, Ø 110 60593810, Ø 125 60693810, Ø 180 60793800, Ø 200",,,,,,"Flange II (female pilot) (F) 60393810, Ø 80 60493810, Ø 110 60593810, Ø 125 60693810, Ø 180 60793800, Ø 200"
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60393820;60593820,"Flange III (male pilot) (F) 60393820, Ø 80 N/A 60593820, Ø 125 N/A N/A",,,,,,"Flange III (male pilot) (F) 60393820, Ø 80 N/A 60593820, Ø 125 N/A N/A"
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60693820,"Flange IV (F) N/A N/A N/A 60693820, Ø 160 N/A",,,,,,"Flange IV (F) N/A N/A N/A 60693820, Ø 160 N/A"
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60393900;60493900;60593900;60693900;60793900,"60393900, 90mm 60493900, 130mm 60593900, 130mm 60693900, 150mm 60793900, 200mm",,,,,,"60393900, 90mm 60493900, 130mm 60593900, 130mm 60693900, 150mm 60793900, 200mm"
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60493910;60593920,"N/A 60493910, 100mm 60593920, 110mm N/A N/A",,,,,,"N/A 60493910, 100mm 60593920, 110mm N/A N/A"
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60593910,"N/A N/A 60593910, 100mm N/A N/A",,,,,,"N/A N/A 60593910, 100mm N/A N/A"
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60393950;60493950;60593950;60693950;60793950,Shaft Cover (H) 60393950 60493950 60593950 60693950 60793950,,,,,,Shaft Cover (H) 60393950 60493950 60593950 60693950 60793950
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60394600;60494600;60594600;60694600,Footplate (X) 60394600 60494600 60594600 60694600 N/A,,,,,,Footplate (X) 60394600 60494600 60594600 60694600 N/A
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60693500;60693500;60693500;60693500;60693500,Open vent (OV) 60693500 60693500 60693500 60693500 60693500,,,,,,Open vent (OV) 60693500 60693500 60693500 60693500 60693500
B89,"SK 1SI31, Ø 14 SK 1SI40, Ø 18 SK 1SI50, Ø 25 SK 1SI63, Ø 25 SK 1SI75, Ø 35",60382330;60482340;60282310;60282310;82282310,Fixing Kit 60382330 60482340 60282310 60282310 82282310,,,,,,Fixing Kit 60382330 60482340 60282310 60282310 82282310
B90,C-Face Motors,31110012,"63S/4-56C 230/460V-60Hz, 1/6 hp 31110012",,,,,,"63S/4-56C 230/460V-60Hz, 1/6 hp 31110012"
B90,C-Face Motors,31610012,"63L/4-56C 230/460V-60Hz, 1/4 hp 31610012",,,,,,"63L/4-56C 230/460V-60Hz, 1/4 hp 31610012"
B90,C-Face Motors,32110012,"71S/4-56C 230/460V-60Hz, 1/3 hp 32110012",,,,,,"71S/4-56C 230/460V-60Hz, 1/3 hp 32110012"
B90,C-Face Motors,32610012,"71L/4-56C 230/460V-60Hz, 1/2 hp 32610012",,,,,,"71L/4-56C 230/460V-60Hz, 1/2 hp 32610012"
B90,C-Face Motors,33110012,"80S/4-56C 230/460V-60Hz, 3/4 hp 33110012",,,,,,"80S/4-56C 230/460V-60Hz, 3/4 hp 33110012"
B90,C-Face Motors,33610022,"80L/4-56C 230/460V-60Hz, 1 hp 33610022",,,,,,"80L/4-56C 230/460V-60Hz, 1 hp 33610022"
B90,C-Face Motors,33610094,"80LH/4-56C 230/460V-60Hz, 1 hp 33610094",,,,,,"80LH/4-56C 230/460V-60Hz, 1 hp 33610094"
B90,C-Face Motors,33610092,"80LH/4-143TC 230/460V-60Hz, 1 hp 33610092",,,,,,"80LH/4-143TC 230/460V-60Hz, 1 hp 33610092"
B90,C-Face Motors,34110092,"90SH/4-145TC 230/460V-60Hz, 1-1/2 hp 34110092",,,,,,"90SH/4-145TC 230/460V-60Hz, 1-1/2 hp 34110092"
B90,C-Face Motors,34610092,"90LH/4-145TC 230/460V-60Hz, 2 hp 34610092",,,,,,"90LH/4-145TC 230/460V-60Hz, 2 hp 34610092"
B90,C-Face Motors,35110092,"100LH/4-182TC 230/460V-60Hz, 3 hp 35110092",,,,,,"100LH/4-182TC 230/460V-60Hz, 3 hp 35110092"
B90,C-Face Motors,36110082,"112MH/4-184TC 230/460V-60Hz, 5 hp 36110082",,,,,,"112MH/4-184TC 230/460V-60Hz, 5 hp 36110082"
B90,C-Face Motors,33610294,"80LP/4-56C 230/460V-60Hz, 1 hp 33610294",,,,,,"80LP/4-56C 230/460V-60Hz, 1 hp 33610294"
B90,C-Face Motors,33610292,"80LP/4-143TC 230/460V-60Hz, 1 hp 33610292",,,,,,"80LP/4-143TC 230/460V-60Hz, 1 hp 33610292"
B90,C-Face Motors,34110292,"90SP/4-145TC 230/460V-60Hz, 1-1/2 hp 34110292",,,,,,"90SP/4-145TC 230/460V-60Hz, 1-1/2 hp 34110292"
B90,C-Face Motors,34610292,"90LP/4-145TC 230/460V-60Hz, 2 hp 34610292",,,,,,"90LP/4-145TC 230/460V-60Hz, 2 hp 34610292"
B90,C-Face Motors,35110292,"100LP/4-182TC 230/460V-60Hz, 3 hp 35110292",,,,,,"100LP/4-182TC 230/460V-60Hz, 3 hp 35110292"
B90,C-Face Motors,36110292,"112MP/4-184TC 230/460V-60Hz, 5 hp 36110292",,,,,,"112MP/4-184TC 230/460V-60Hz, 5 hp 36110292"
B90,C-Face Motors,31110013,"63S/4-56C 575V-60Hz, 1/6 hp 31110013",,,,,,"63S/4-56C 575V-60Hz, 1/6 hp 31110013"
B90,C-Face Motors,31610013,"63L/4-56C 575V-60Hz, 1/4 hp 31610013",,,,,,"63L/4-56C 575V-60Hz, 1/4 hp 31610013"
B90,C-Face Motors,32110013,"71S/4-56C 575V-60Hz, 1/3 hp 32110013",,,,,,"71S/4-56C 575V-60Hz, 1/3 hp 32110013"
B90,C-Face Motors,32610013,"71L/4-56C 575V-60Hz, 1/2 hp 32610013",,,,,,"71L/4-56C 575V-60Hz, 1/2 hp 32610013"
B90,C-Face Motors,33110013,"80S/4-56C 575V-60Hz, 3/4 hp 33110013",,,,,,"80S/4-56C 575V-60Hz, 3/4 hp 33110013"
B90,C-Face Motors,33610023,"80L/4-56C 575V-60Hz, 1 hp 33610023",,,,,,"80L/4-56C 575V-60Hz, 1 hp 33610023"
B90,C-Face Motors,33610095,"80LH/4-56C 575V-60Hz, 1 hp 33610095",,,,,,"80LH/4-56C 575V-60Hz, 1 hp 33610095"
B90,C-Face Motors,33610093,"80LH/4-143TC 575V-60Hz, 1 hp 33610093",,,,,,"80LH/4-143TC 575V-60Hz, 1 hp 33610093"
B90,C-Face Motors,34110093,"90SH/4-145TC 575V-60Hz, 1-1/2 hp 34110093",,,,,,"90SH/4-145TC 575V-60Hz, 1-1/2 hp 34110093"
B90,C-Face Motors,34610093,"90LH/4-145TC 575V-60Hz, 2 hp 34610093",,,,,,"90LH/4-145TC 575V-60Hz, 2 hp 34610093"
B90,C-Face Motors,35110093,"100LH/4-182TC 575V-60Hz, 3 hp 35110093",,,,,,"100LH/4-182TC 575V-60Hz, 3 hp 35110093"
