catalog_page,category,part_numbers,c1,c2,c3,c4,c5,c6,raw_line
B83,Wormgearbox 1.125 hollow shaft 25mm hollow shaft,60592500;60591500,i=50 60592500 60591500,,,,,,i=50 60592500 60591500
B83,Wormgearbox 1.125 hollow shaft 25mm hollow shaft,60592600;60591600,i=60 60592600 60591600,,,,,,i=60 60592600 60591600
B83,Wormgearbox 1.125 hollow shaft 25mm hollow shaft,60592800;60591800,i=80 60592800 60591800,,,,,,i=80 60592800 60591800
B83,Wormgearbox 1.125 hollow shaft 25mm hollow shaft,60592000;60591000,i=100 60592000 60591000,,,,,,i=100 60592000 60591000
B83,NEMA and IEC Adapter  102 & 118 Part Number,60495500,NEMA 56C 60495500,,,,,,NEMA 56C 60495500
B83,NEMA and IEC Adapter  102 & 118 Part Number,60595500,NEMA 140TC 60595500,,,,,,NEMA 140TC 60595500
B83,NEMA and IEC Adapter  102 & 118 Part Number,60495100,IEC 56 B14 C105 60495100,,,,,,IEC 56 B14 C105 60495100
B83,NEMA and IEC Adapter  102 & 118 Part Number,60495200,IEC 56 B5 A120 60495200,,,,,,IEC 56 B5 A120 60495200
B83,NEMA and IEC Adapter  102 & 118 Part Number,60495010,IEC 63 B14 C90 60495010,,,,,,IEC 63 B14 C90 60495010
B83,NEMA and IEC Adapter  102 & 118 Part Number,60495110,IEC 63 B14 C120 60495110,,,,,,IEC 63 B14 C120 60495110
B83,NEMA and IEC Adapter  102 & 118 Part Number,60495210,IEC 63 B5 A140 60495210,,,,,,IEC 63 B5 A140 60495210
B83,NEMA and IEC Adapter  102 & 118 Part Number,60495020,IEC 71 B14 C105 60495020,,,,,,IEC 71 B14 C105 60495020
B83,NEMA and IEC Adapter  102 & 118 Part Number,60495120,IEC 71 B14 C140 60495120,,,,,,IEC 71 B14 C140 60495120
B83,NEMA and IEC Adapter  102 & 118 Part Number,60495220,IEC 71 B5 A160 60495220,,,,,,IEC 71 B5 A160 60495220
B83,NEMA and IEC Adapter  102 & 118 Part Number,60495030,IEC 80 B14 C120 60495030,,,,,,IEC 80 B14 C120 60495030
B83,NEMA and IEC Adapter  102 & 118 Part Number,60495130,IEC 80 B14 C160 60495130,,,,,,IEC 80 B14 C160 60495130
B83,NEMA and IEC Adapter  102 & 118 Part Number,60495230,IEC 80 B5 A200 60495230,,,,,,IEC 80 B5 A200 60495230
B83,NEMA and IEC Adapter  102 & 118 Part Number,60495040,IEC 90 B14 C140 60495040,,,,,,IEC 90 B14 C140 60495040
B83,NEMA and IEC Adapter  102 & 118 Part Number,60495140,IEC 90 B14 C160 60495140,,,,,,IEC 90 B14 C160 60495140
B83,NEMA and IEC Adapter  102 & 118 Part Number,60495240,IEC 90 B5 A200 60495240,,,,,,IEC 90 B5 A200 60495240
B83,Plug in Shaft - Inch  122 Part Number,60593010,Shaft 1.000” x 50mm 60593010,,,,,,Shaft 1.000” x 50mm 60593010
B83,Plug in Shaft - Inch  122 Part Number,60593110,Double Shaft 1.000” x 50mm 60593110,,,,,,Double Shaft 1.000” x 50mm 60593110
B83,Plug in Shaft - Inch  122 Part Number,60593210,Shaft for Output Flange B5 1.000” x 50mm 60593210,,,,,,Shaft for Output Flange B5 1.000” x 50mm 60593210
B83,Plug in Shaft - Metric  122 Part Number,60593000,Shaft 25mm x 50mm 60593000,,,,,,Shaft 25mm x 50mm 60593000
B83,Plug in Shaft - Metric  122 Part Number,60593100,Double Shaft,25mm x 50mm 60593100,,,,,Double Shaft  25mm x 50mm 60593100
B83,Plug in Shaft - Metric  122 Part Number,60593200,Shaft for Output Flange B5 25mm x 50mm 60593200,,,,,,Shaft for Output Flange B5 25mm x 50mm 60593200
B83,Hollow Shaft Bushing  103 Part Number,60593400,Hollow Shaft Bushing 1.00” 60593400,,,,,,Hollow Shaft Bushing 1.00” 60593400
B83,Hollow Shaft Bushing  103 Part Number,60593800,I Flange - 160mm 60593800,,,,,,I Flange - 160mm 60593800
B83,Hollow Shaft Bushing  103 Part Number,60593810,"II Flange - 125mm, Square Flange, Female Pilot 60593810",,,,,,"II Flange - 125mm, Square Flange, Female Pilot 60593810"
B83,Hollow Shaft Bushing  103 Part Number,60593820,"III Flange - 125mm, Square Flange, Male Pilot 60593820",,,,,,"III Flange - 125mm, Square Flange, Male Pilot 60593820"
B83,Shaft Cover  103 Part Number,60593950,Shaft Cover 60593950,,,,,,Shaft Cover 60593950
B83,Shaft Cover  103 Part Number,60593900,130 mm Torque Arm I 60593900,,,,,,130 mm Torque Arm I 60593900
B83,Shaft Cover  103 Part Number,60593920,110 mm Torque Arm II 60593920,,,,,,110 mm Torque Arm II 60593920
B83,Shaft Cover  103 Part Number,60593910,100 mm Torque Arm III 60593910,,,,,,100 mm Torque Arm III 60593910
B83,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,31110012,"63S/4-56C 230/460V-60Hz, 1/6 hp 31110012",,,,,,"63S/4-56C 230/460V-60Hz, 1/6 hp 31110012"
B83,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,31610012,"63L/4-56C 230/460V-60Hz, 1/4 hp 31610012",,,,,,"63L/4-56C 230/460V-60Hz, 1/4 hp 31610012"
B83,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,32110012,"71S/4-56C 230/460V-60Hz, 1/3 hp 32110012",,,,,,"71S/4-56C 230/460V-60Hz, 1/3 hp 32110012"
B83,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,32610012,"71L/4-56C 230/460V-60Hz, 1/2 hp 32610012",,,,,,"71L/4-56C 230/460V-60Hz, 1/2 hp 32610012"
B83,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,33110012,"80S/4-56C 230/460V-60Hz, 3/4 hp 33110012",,,,,,"80S/4-56C 230/460V-60Hz, 3/4 hp 33110012"
B83,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,33610022,"80L/4-56C 230/460V-60Hz, 1 hp 33610022",,,,,,"80L/4-56C 230/460V-60Hz, 1 hp 33610022"
B83,C-face 575V-60Hz Standard Efficiency Motor Part Number,31110013,"63S/4-56C 575V-60Hz, 1/6 hp 31110013",,,,,,"63S/4-56C 575V-60Hz, 1/6 hp 31110013"
B83,C-face 575V-60Hz Standard Efficiency Motor Part Number,31610013,"63L/4-56C 575V-60Hz, 1/4 hp 31610013",,,,,,"63L/4-56C 575V-60Hz, 1/4 hp 31610013"
B83,C-face 575V-60Hz Standard Efficiency Motor Part Number,32110013,"71S/4-56C 575V-60Hz, 1/3 hp 32110013",,,,,,"71S/4-56C 575V-60Hz, 1/3 hp 32110013"
B83,C-face 575V-60Hz Standard Efficiency Motor Part Number,32610013,"71L/4-56C 575V-60Hz, 1/2 hp 32610013",,,,,,"71L/4-56C 575V-60Hz, 1/2 hp 32610013"
B83,C-face 230/460V-60Hz Energy Efficient Motor Part Number,33610094,"80LH/4-56C 230/460V-60Hz, 1 hp 33610094",,,,,,"80LH/4-56C 230/460V-60Hz, 1 hp 33610094"
B83,C-face 230/460V-60Hz Energy Efficient Motor Part Number,33610092,"80LH/4-143TC 230/460V-60Hz, 1 hp 33610092",,,,,,"80LH/4-143TC 230/460V-60Hz, 1 hp 33610092"
B83,C-face 230/460V-60Hz Energy Efficient Motor Part Number,34110092,"90SH/4-145TC 230/460V-60Hz, 1-1/2 hp 34110092",,,,,,"90SH/4-145TC 230/460V-60Hz, 1-1/2 hp 34110092"
B83,C-face 230/460V-60Hz Energy Efficient Motor Part Number,34610092,"90LH/4-145TC 230/460V-60Hz, 2 hp 34610092",,,,,,"90LH/4-145TC 230/460V-60Hz, 2 hp 34610092"
B83,C-face 575V-60Hz Energy Efficient Motor Part Number,33610095,"80LH/4-56C 575V-60Hz, 1 hp 33610095",,,,,,"80LH/4-56C 575V-60Hz, 1 hp 33610095"
B83,C-face 575V-60Hz Energy Efficient Motor Part Number,33610093,"80LH/4-143TC 575V-60Hz, 1 hp 33610093",,,,,,"80LH/4-143TC 575V-60Hz, 1 hp 33610093"
B83,C-face 575V-60Hz Energy Efficient Motor Part Number,34110093,"90SH/4-145TC 575V-60Hz, 1-1/2 hp 34110093",,,,,,"90SH/4-145TC 575V-60Hz, 1-1/2 hp 34110093"
B83,C-face 575V-60Hz Energy Efficient Motor Part Number,34610093,"90LH/4-145TC 575V-60Hz, 2 hp 34610093",,,,,,"90LH/4-145TC 575V-60Hz, 2 hp 34610093"
B83,C-face 230/460V-60Hz Energy Efficient Motor Part Number,33610294,"80LP/4-56C 230/460V-60Hz, 1 hp 33610294",,,,,,"80LP/4-56C 230/460V-60Hz, 1 hp 33610294"
B83,C-face 230/460V-60Hz Energy Efficient Motor Part Number,33610292,"80LP/4-143TC 230/460V-60Hz, 1 hp 33610292",,,,,,"80LP/4-143TC 230/460V-60Hz, 1 hp 33610292"
B83,C-face 230/460V-60Hz Energy Efficient Motor Part Number,34110292,"90SP/4-145TC 230/460V-60Hz, 1-1/2 hp 34110292",,,,,,"90SP/4-145TC 230/460V-60Hz, 1-1/2 hp 34110292"
B83,C-face 230/460V-60Hz Energy Efficient Motor Part Number,34610292,"90LP/4-145TC 230/460V-60Hz, 2 hp 34610292",,,,,,"90LP/4-145TC 230/460V-60Hz, 2 hp 34610292"
B83,C-face 575V-60Hz Energy Efficient Motor Part Number,33610295,"80LP/4-56C 575V-60Hz, 1 hp 33610295",,,,,,"80LP/4-56C 575V-60Hz, 1 hp 33610295"
B83,C-face 575V-60Hz Energy Efficient Motor Part Number,33610293,"80LP/4-143TC 575V-60Hz, 1 hp 33610293",,,,,,"80LP/4-143TC 575V-60Hz, 1 hp 33610293"
B83,C-face 575V-60Hz Energy Efficient Motor Part Number,34110293,"90SP/4-145TC 575V-60Hz, 1-1/2 hp 34110293",,,,,,"90SP/4-145TC 575V-60Hz, 1-1/2 hp 34110293"
