vendor,product_line,component_type,variant,adapter_interface,adapter_code,motor_frame,motor_poles,motor_voltage,motor_efficiency,motor_hp,shaft_key,gear_unit_key,ratio,nord_part_number,description,catalog_page,source_line
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_1p000in_18mm_i30p0,30.0,60492300,Gearbox 1.000 hollow shaft 18mm hollow shaft,B81,i=30 60492300 60491300
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_1p000in_18mm_i30p0,30.0,60491300,Gearbox 1.000 hollow shaft 18mm hollow shaft,B81,i=30 60492300 60491300
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_1p000in_18mm_i40p0,40.0,60492400,Gearbox 1.000 hollow shaft 18mm hollow shaft,B81,i=40 60492400 60491400
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_1p000in_18mm_i40p0,40.0,60491400,Gearbox 1.000 hollow shaft 18mm hollow shaft,B81,i=40 60492400 60491400
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_1p000in_18mm_i50p0,50.0,60492500,Gearbox 1.000 hollow shaft 18mm hollow shaft,B81,i=50 60492500 60491500
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_1p000in_18mm_i50p0,50.0,60491500,Gearbox 1.000 hollow shaft 18mm hollow shaft,B81,i=50 60492500 60491500
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_1p000in_18mm_i60p0,60.0,60492600,Gearbox 1.000 hollow shaft 18mm hollow shaft,B81,i=60 60492600 60491600
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_1p000in_18mm_i60p0,60.0,60491600,Gearbox 1.000 hollow shaft 18mm hollow shaft,B81,i=60 60492600 60491600
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_1p000in_18mm_i80p0,80.0,60492800,Gearbox 1.000 hollow shaft 18mm hollow shaft,B81,i=80 60492800 60491800
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_1p000in_18mm_i80p0,80.0,60491800,Gearbox 1.000 hollow shaft 18mm hollow shaft,B81,i=80 60492800 60491800
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_1p000in_18mm_i100p0,100.0,60492000,Gearbox 1.000 hollow shaft 18mm hollow shaft,B81,i=100 60492000 60491000
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_1p000in_18mm_i100p0,100.0,60491000,Gearbox 1.000 hollow shaft 18mm hollow shaft,B81,i=100 60492000 60491000
NORD,FLEXBLOC,adapter,ANY,NEMA,56C,,,,,,,,,60495500,NEMA and IEC Adapters  98 & 118 Part Number,B81,NEMA 56C 60495500
NORD,FLEXBLOC,adapter,ANY,NEMA,,,,,,,,,,60595500,NEMA and IEC Adapters  98 & 118 Part Number,B81,NEMA 140TC 60595500
NORD,FLEXBLOC,adapter,ANY,IEC,IEC_56_B14_C105,,,,,,,,,60495100,NEMA and IEC Adapters  98 & 118 Part Number,B81,IEC 56 B14 C105 60495100
NORD,FLEXBLOC,adapter,ANY,IEC,IEC_56_B5_A120,,,,,,,,,60495200,NEMA and IEC Adapters  98 & 118 Part Number,B81,IEC 56 B5 A120 60495200
NORD,FLEXBLOC,adapter,ANY,IEC,IEC_63_B14_C90,,,,,,,,,60495010,NEMA and IEC Adapters  98 & 118 Part Number,B81,IEC 63 B14 C90 60495010
NORD,FLEXBLOC,adapter,ANY,IEC,IEC_63_B14_C120,,,,,,,,,60495110,NEMA and IEC Adapters  98 & 118 Part Number,B81,IEC 63 B14 C120 60495110
NORD,FLEXBLOC,adapter,ANY,IEC,IEC_63_B5_A140,,,,,,,,,60495210,NEMA and IEC Adapters  98 & 118 Part Number,B81,IEC 63 B5 A140 60495210
NORD,FLEXBLOC,adapter,ANY,IEC,IEC_71_B14_C105,,,,,,,,,60495020,NEMA and IEC Adapters  98 & 118 Part Number,B81,IEC 71 B14 C105 60495020
NORD,FLEXBLOC,adapter,ANY,IEC,IEC_71_B14_C140,,,,,,,,,60495120,NEMA and IEC Adapters  98 & 118 Part Number,B81,IEC 71 B14 C140 60495120
NORD,FLEXBLOC,adapter,ANY,IEC,IEC_71_B5_A160,,,,,,,,,60495220,NEMA and IEC Adapters  98 & 118 Part Number,B81,IEC 71 B5 A160 60495220
NORD,FLEXBLOC,adapter,ANY,IEC,IEC_80_B14_C120,,,,,,,,,60495030,NEMA and IEC Adapters  98 & 118 Part Number,B81,IEC 80 B14 C120 60495030
NORD,FLEXBLOC,adapter,ANY,IEC,IEC_80_B14_C160,,,,,,,,,60495130,NEMA and IEC Adapters  98 & 118 Part Number,B81,IEC 80 B14 C160 60495130
NORD,FLEXBLOC,adapter,ANY,IEC,IEC_80_B5_A200,,,,,,,,,60495230,NEMA and IEC Adapters  98 & 118 Part Number,B81,IEC 80 B5 A200 60495230
NORD,FLEXBLOC,adapter,ANY,IEC,IEC_90_B14_C140,,,,,,,,,60495040,NEMA and IEC Adapters  98 & 118 Part Number,B81,IEC 90 B14 C140 60495040
NORD,FLEXBLOC,adapter,ANY,IEC,IEC_90_B14_C160,,,,,,,,,60495140,NEMA and IEC Adapters  98 & 118 Part Number,B81,IEC 90 B14 C160 60495140
NORD,FLEXBLOC,adapter,ANY,IEC,IEC_90_B5_A200,,,,,,,,,60495240,NEMA and IEC Adapters  98 & 118 Part Number,B81,IEC 90 B5 A200 60495240
NORD,FLEXBLOC,output_shaft_kit,ANY,,,,,,,,shaft_0p750in_x_40mm,,,60493010,Plug in Shaft - Inch  122 Part Number,B81,Shaft 0.750” x 40mm 60493010
NORD,FLEXBLOC,output_shaft_kit,ANY,,,,,,,,double_shaft_0p750in_x_40mm,,,60493110,Plug in Shaft - Inch  122 Part Number,B81,Double Shaft 0.750” x 40mm 60493110
NORD,FLEXBLOC,output_shaft_kit,ANY,,,,,,,,shaft_output_flange_0p750in_x_40mm,,,60493210,Plug in Shaft - Inch  122 Part Number,B81,Shaft for Output Flange B5 0.750” x 40mm 60493210
NORD,FLEXBLOC,output_shaft_kit,ANY,,,,,,,,shaft_18mm_x_40mm,,,60493000,Plug in Shaft - Metric  122 Part Number,B81,Shaft 18mm x 40mm 60493000
NORD,FLEXBLOC,output_shaft_kit,ANY,,,,,,,,double_shaft_18mm_x_40mm,,,60493100,Plug in Shaft - Metric  122 Part Number,B81,Double Shaft  18mm x 40mm 60493100
NORD,FLEXBLOC,output_shaft_kit,ANY,,,,,,,,shaft_output_flange_18mm_x_40mm,,,60493200,Plug in Shaft - Metric  122 Part Number,B81,Shaft for Output Flange B5 18mm x 40mm 60493200
NORD,FLEXBLOC,output_shaft_kit,ANY,,,,,,,,,,,60493800,Plug in Shaft - Metric  122 Part Number,B81,I Flange - 120mm 60493800
NORD,FLEXBLOC,output_shaft_kit,ANY,,,,,,,,,,,60493810,Plug in Shaft - Metric  122 Part Number,B81,"II Flange - 110mm, Sqare Flange, Female Pilot 60493810"
NORD,FLEXBLOC,other,ANY,,,,,,,,,,,60493950,Shaft Cover  99 Part Number,B81,Shaft Cover 60493950
NORD,FLEXBLOC,other,ANY,,,,,,,,,,,60493900,Shaft Cover  99 Part Number,B81,130mm Torque Arm I 60493900
NORD,FLEXBLOC,other,ANY,,,,,,,,,,,60490770,Shaft Cover  99 Part Number,B81,100mm Torque Arm III 60490770
NORD,FLEXBLOC,other,ANY,,,,,,,,,,,60494600,Shaft Cover  99 Part Number,B81,Foot Plate 0.53” / 4.31”x 5.25” 60494600
NORD,FLEXBLOC,other,ANY,,,,,,,,,,,60693500,Shaft Cover  99 Part Number,B81,Open Vent 60693500
NORD,FLEXBLOC,other,ANY,,,,,,,,,,,22008056,Shaft Cover  99 Part Number,B81,AUTOVENT™ 22008056
NORD,FLEXBLOC,other,ANY,,,,,,,,,,,60494000,Shaft Cover  99 Part Number,B81,Helical Input Stage H10 60494000
NORD,FLEXBLOC,adapter,ANY,,,,,,,,,,,60494110,Double Worm Adapter  116 Part Number,B81,Inch 0.625” (requires     ) 60494110
NORD,FLEXBLOC,adapter,ANY,,,,,,,,,,,60494100,Double Worm Adapter  116 Part Number,B81,Metric 14mm (requires     ) 60494100
NORD,FLEXBLOC,other,ANY,,,,,,,,,,,60494210,Solid Input Shaft  119 Part Number,B81,Solid Input Shaft 0.625” x 1.57” 60494210
NORD,FLEXBLOC,other,ANY,,,,,,,,,,,60494200,Solid Input Shaft  119 Part Number,B81,Solid Input Shaft 16mm x 40mm 60494200
NORD,FLEXBLOC,other,ANY,,,,,,,,,,,60282930,Solid Input Shaft  119 Part Number,B81,Fixing Kit (Inch) 60282930
NORD,FLEXBLOC,other,ANY,,,,,,,,,,,60482340,Solid Input Shaft  119 Part Number,B81,Fixing (Metric) 60482340
NORD,FLEXBLOC,motor,STD,,56C,63S/4,4.0,230/460V-60Hz,STANDARD,0.16666666666666666,,,,31110012,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,B81,"63S/4-56C 230/460V-60Hz, 1/6 hp 31110012"
NORD,FLEXBLOC,motor,STD,,56C,63L/4,4.0,230/460V-60Hz,STANDARD,0.25,,,,31610012,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,B81,"63L/4-56C 230/460V-60Hz, 1/4 hp 31610012"
NORD,FLEXBLOC,motor,STD,,56C,71S/4,4.0,230/460V-60Hz,STANDARD,0.3333333333333333,,,,32110012,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,B81,"71S/4-56C 230/460V-60Hz, 1/3 hp 32110012"
NORD,FLEXBLOC,motor,STD,,56C,71L/4,4.0,230/460V-60Hz,STANDARD,0.5,,,,32610012,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,B81,"71L/4-56C 230/460V-60Hz, 1/2 hp 32610012"
NORD,FLEXBLOC,motor,STD,,56C,80S/4,4.0,230/460V-60Hz,STANDARD,0.75,,,,33110012,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,B81,"80S/4-56C 230/460V-60Hz, 3/4 hp 33110012"
NORD,FLEXBLOC,motor,STD,,56C,80L/4,4.0,230/460V-60Hz,STANDARD,1.0,,,,33610022,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,B81,"80L/4-56C 230/460V-60Hz, 1 hp 33610022"
