vendor,product_line,component_type,gear_unit_size,total_ratio,worm_ratio,second_ratio,adapter_interface,brake,mounting_variant,nord_part_number,description,catalog_page,source_line
NORD,FLEXBLOC,gear_unit,SI50,50,50,,ANY,false,inch_hollow,60592500,Wormgearbox 1.125 Hollow Shaft 25mm - Ratio 50,B83,i=50 60592500 60591500
NORD,FLEXBLOC,gear_unit,SI50,50,50,,ANY,false,metric_hollow,60591500,Wormgearbox 1.125 Hollow Shaft 25mm - Ratio 50,B83,i=50 60592500 60591500
NORD,FLEXBLOC,gear_unit,SI50,60,60,,ANY,false,inch_hollow,60592600,Wormgearbox 1.125 Hollow Shaft 25mm - Ratio 60,B83,i=60 60592600 60591600
NORD,FLEXBLOC,gear_unit,SI50,60,60,,ANY,false,metric_hollow,60591600,Wormgearbox 1.125 Hollow Shaft 25mm - Ratio 60,B83,i=60 60592600 60591600
NORD,FLEXBLOC,gear_unit,SI50,80,80,,ANY,false,inch_hollow,60592800,Wormgearbox 1.125 Hollow Shaft 25mm - Ratio 80,B83,i=80 60592800 60591800
NORD,FLEXBLOC,gear_unit,SI50,80,80,,ANY,false,metric_hollow,60591800,Wormgearbox 1.125 Hollow Shaft 25mm - Ratio 80,B83,i=80 60592800 60591800
NORD,FLEXBLOC,gear_unit,SI50,100,100,,ANY,false,inch_hollow,60592000,Wormgearbox 1.125 Hollow Shaft 25mm - Ratio 100,B83,i=100 60592000 60591000
NORD,FLEXBLOC,gear_unit,SI50,100,100,,ANY,false,metric_hollow,60591000,Wormgearbox 1.125 Hollow Shaft 25mm - Ratio 100,B83,i=100 60592000 60591000
NORD,FLEXBLOC,gear_unit,SI63,5,5,,ANY,false,inch_hollow,60692050,Wormgearbox 1.4375 Hollow Shaft 25mm - Ratio 5,B85,i=5 60692050 60691050
NORD,FLEXBLOC,gear_unit,SI63,5,5,,ANY,false,metric_hollow,60691050,Wormgearbox 1.4375 Hollow Shaft 25mm - Ratio 5,B85,i=5 60692050 60691050
NORD,FLEXBLOC,gear_unit,SI63,7.5,7.5,,ANY,false,inch_hollow,60692080,Wormgearbox 1.4375 Hollow Shaft 25mm - Ratio 7.5,B85,i=7.5 60692080 60691080
NORD,FLEXBLOC,gear_unit,SI63,7.5,7.5,,ANY,false,metric_hollow,60691080,Wormgearbox 1.4375 Hollow Shaft 25mm - Ratio 7.5,B85,i=7.5 60692080 60691080
NORD,FLEXBLOC,gear_unit,SI63,10,10,,ANY,false,inch_hollow,60692100,Wormgearbox 1.4375 Hollow Shaft 25mm - Ratio 10,B85,i=10 60692100 60691100
NORD,FLEXBLOC,gear_unit,SI63,10,10,,ANY,false,metric_hollow,60691100,Wormgearbox 1.4375 Hollow Shaft 25mm - Ratio 10,B85,i=10 60692100 60691100
NORD,FLEXBLOC,gear_unit,SI63,12.5,12.5,,ANY,false,inch_hollow,60692130,Wormgearbox 1.4375 Hollow Shaft 25mm - Ratio 12.5,B85,i=12.5 60692130 60691130
NORD,FLEXBLOC,gear_unit,SI63,12.5,12.5,,ANY,false,metric_hollow,60691130,Wormgearbox 1.4375 Hollow Shaft 25mm - Ratio 12.5,B85,i=12.5 60692130 60691130
NORD,FLEXBLOC,gear_unit,SI63,15,15,,ANY,false,inch_hollow,60692150,Wormgearbox 1.4375 Hollow Shaft 25mm - Ratio 15,B85,i=15 60692150 60691150
NORD,FLEXBLOC,gear_unit,SI63,15,15,,ANY,false,metric_hollow,60691150,Wormgearbox 1.4375 Hollow Shaft 25mm - Ratio 15,B85,i=15 60692150 60691150
NORD,FLEXBLOC,gear_unit,SI63,20,20,,ANY,false,inch_hollow,60692200,Wormgearbox 1.4375 Hollow Shaft 25mm - Ratio 20,B85,i=20 60692200 60691200
NORD,FLEXBLOC,gear_unit,SI63,20,20,,ANY,false,metric_hollow,60691200,Wormgearbox 1.4375 Hollow Shaft 25mm - Ratio 20,B85,i=20 60692200 60691200
NORD,FLEXBLOC,gear_unit,SI63,25,25,,ANY,false,inch_hollow,60692250,Wormgearbox 1.4375 Hollow Shaft 25mm - Ratio 25,B85,i=25 60692250 60691250
NORD,FLEXBLOC,gear_unit,SI63,25,25,,ANY,false,metric_hollow,60691250,Wormgearbox 1.4375 Hollow Shaft 25mm - Ratio 25,B85,i=25 60692250 60691250
NORD,FLEXBLOC,gear_unit,SI63,30,30,,ANY,false,inch_hollow,60692300,Wormgearbox 1.4375 Hollow Shaft 25mm - Ratio 30,B85,i=30 60692300 60691300
NORD,FLEXBLOC,gear_unit,SI63,30,30,,ANY,false,metric_hollow,60691300,Wormgearbox 1.4375 Hollow Shaft 25mm - Ratio 30,B85,i=30 60692300 60691300
NORD,FLEXBLOC,gear_unit,SI63,40,40,,ANY,false,inch_hollow,60692400,Wormgearbox 1.4375 Hollow Shaft 25mm - Ratio 40,B85,i=40 60692400 60691400
NORD,FLEXBLOC,gear_unit,SI63,40,40,,ANY,false,metric_hollow,60691400,Wormgearbox 1.4375 Hollow Shaft 25mm - Ratio 40,B85,i=40 60692400 60691400
NORD,FLEXBLOC,gear_unit,SI63,50,50,,ANY,false,inch_hollow,60692500,Wormgearbox 1.4375 Hollow Shaft 25mm - Ratio 50,B85,i=50 60692500 60691500
NORD,FLEXBLOC,gear_unit,SI63,50,50,,ANY,false,metric_hollow,60691500,Wormgearbox 1.4375 Hollow Shaft 25mm - Ratio 50,B85,i=50 60692500 60691500
NORD,FLEXBLOC,gear_unit,SI63,60,60,,ANY,false,inch_hollow,60692600,Wormgearbox 1.4375 Hollow Shaft 25mm - Ratio 60,B85,i=60 60692600 60691600
NORD,FLEXBLOC,gear_unit,SI63,60,60,,ANY,false,metric_hollow,60691600,Wormgearbox 1.4375 Hollow Shaft 25mm - Ratio 60,B85,i=60 60692600 60691600
